panel,pipeline,readout,contrast,endpoint_role,estimate,panel_ci_low_not_plotted,panel_ci_high_not_plotted,positive,config_mean,conditional_ci_low,conditional_ci_high,n_panels,n_birds,bootstrap_draws,conditioning,source_panel_csv_sha256,source_conditional_csv_sha256
panel001,birdnet,linear,B_minus_A,co_primary,0.59838255343732805,0.53277257458293481,0.66092329935713223,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel002,birdnet,linear,B_minus_A,co_primary,0.60394327048075258,0.52960628431781553,0.67539355909854859,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel003,birdnet,linear,B_minus_A,co_primary,0.63897279096271997,0.56149080507550253,0.71036031731352112,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel004,birdnet,linear,B_minus_A,co_primary,0.5776838623290772,0.50581464373055907,0.64526340265949167,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel005,birdnet,linear,B_minus_A,co_primary,0.65571182516260218,0.59461891899640018,0.71337745294848931,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel006,birdnet,linear,B_minus_A,co_primary,0.68184739433171315,0.62042614014748521,0.74235555980458057,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel007,birdnet,linear,B_minus_A,co_primary,0.63293210564020386,0.5677006365551166,0.69636032115334379,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel008,birdnet,linear,B_minus_A,co_primary,0.59663175769034826,0.52347930279498289,0.6667506199591442,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel009,birdnet,linear,B_minus_A,co_primary,0.65547609683819796,0.59207186930117395,0.71528532061581607,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel010,birdnet,linear,B_minus_A,co_primary,0.61338704479555251,0.54305544988353693,0.67884889685315908,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel011,birdnet,linear,B_minus_A,co_primary,0.57592475826296585,0.50181758360981199,0.64827677872309231,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel012,birdnet,linear,B_minus_A,co_primary,0.65544151513772908,0.59758694333877749,0.71327380359513792,true,0.62386124792243258,0.57699235501591584,0.66954181969619464,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel001,birdnet,linear,B_minus_C,co_primary,0.70166972140461825,0.6484823717098448,0.75164932647138816,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel002,birdnet,linear,B_minus_C,co_primary,0.68090804951081296,0.61978943424216404,0.73765732908635073,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel003,birdnet,linear,B_minus_C,co_primary,0.71951196213884827,0.65948396747283522,0.77693277437614994,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel004,birdnet,linear,B_minus_C,co_primary,0.67141626060021198,0.61131302864428927,0.72972743554465225,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel005,birdnet,linear,B_minus_C,co_primary,0.75300816820802585,0.70134305161960298,0.80222156824456647,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel006,birdnet,linear,B_minus_C,co_primary,0.72443578361910355,0.67183674786204084,0.77521284807257673,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel007,birdnet,linear,B_minus_C,co_primary,0.69604269717458089,0.63975034811106235,0.75090743478907895,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel008,birdnet,linear,B_minus_C,co_primary,0.70061404876387379,0.64103811811141742,0.75855478627118234,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel009,birdnet,linear,B_minus_C,co_primary,0.6979427345238739,0.64080912091157927,0.75310030717620258,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel010,birdnet,linear,B_minus_C,co_primary,0.73449358570876444,0.68120208522189751,0.78397887641078023,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel011,birdnet,linear,B_minus_C,co_primary,0.68350280093585203,0.62482835435132122,0.74228358554212159,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel012,birdnet,linear,B_minus_C,co_primary,0.7018027218213917,0.64514026045993045,0.75653118735896052,true,0.70544571120082977,0.66573379300611046,0.74364640435901685,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel001,perch,linear,B_minus_A,co_primary,0.71424785475652175,0.65291578815369111,0.77287791637229997,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel002,perch,linear,B_minus_A,co_primary,0.71766608471913529,0.66070282174788431,0.77391015654791651,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel003,perch,linear,B_minus_A,co_primary,0.74589321224997107,0.68427568364328628,0.80373106615470058,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel004,perch,linear,B_minus_A,co_primary,0.71489309111288302,0.65043094113150879,0.77552760606527249,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel005,perch,linear,B_minus_A,co_primary,0.72744195150628077,0.67285934353443022,0.7788604404024857,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel006,perch,linear,B_minus_A,co_primary,0.76112236205073425,0.70783161342117062,0.81150826139272025,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel007,perch,linear,B_minus_A,co_primary,0.73938227983600513,0.67584051271682721,0.8003232631154491,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel008,perch,linear,B_minus_A,co_primary,0.74192381317041312,0.68820463450307001,0.7940810189729125,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel009,perch,linear,B_minus_A,co_primary,0.72616669973444248,0.67144515530142967,0.77877363890322238,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel010,perch,linear,B_minus_A,co_primary,0.75933682843464523,0.70018115117670654,0.81479524008606363,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel011,perch,linear,B_minus_A,co_primary,0.6951316488255479,0.63704783693200728,0.75261074077450363,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel012,perch,linear,B_minus_A,co_primary,0.77102518283386356,0.71824052762851132,0.82178402387869609,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
