panel,pipeline,readout,hyperparameter,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel001,birdnet,centroid_frozen,,0.7541620404423517,0.16880588914137695,0.6297958759562177,0.1334485011691932,0.49634737478702445,0.4609899868148407
panel001,birdnet,knn,1,0.9953558492663264,0.12298751789641581,0.938146062967708,0.08265071866961027,0.8554953442980977,0.8151585450712922
panel001,birdnet,linear_frozen,10.0,0.9981261565127771,0.32934531032742803,0.9277278637647561,0.22605814236013766,0.7016697214046185,0.5983825534373282
panel001,birdnet,mlp,0.0001,0.9981261565127771,0.2707239630730547,0.9005612829853649,0.19323375691533917,0.7073275260700257,0.6298373199123102
panel002,birdnet,centroid_frozen,,0.7790914279702615,0.17807986383153396,0.6886154747884874,0.11982222995884034,0.5687932448296471,0.5105356109569534
panel002,birdnet,knn,1,0.9934438900990795,0.1315382476881357,0.9269804922085138,0.08960698837155147,0.8373735038369623,0.795442244520378
panel002,birdnet,linear_frozen,1.0,0.9943720814355345,0.34913925424611125,0.9530825247268637,0.2721744752160507,0.6809080495108131,0.6039432704807525
panel002,birdnet,mlp,0.01,0.9933805059235458,0.31329297966511654,0.9320830924656424,0.2400993477495472,0.6919837447160951,0.6187901128005258
panel003,birdnet,centroid_frozen,,0.8255056994097372,0.14787044920169123,0.7329283493865714,0.11397772400502824,0.6189506253815431,0.5850579001848801
panel003,birdnet,knn,1,0.9915535085235037,0.08312636109528058,0.9419376050491419,0.08300075365481459,0.8589368513943273,0.8588112439538613
panel003,birdnet,linear_frozen,10.0,0.9953153912819432,0.2974200897237585,0.9363928806864785,0.21688091854763009,0.7195119621388484,0.6389727909627201
panel003,birdnet,mlp,0.01,0.9952607375135659,0.24893044101812326,0.9302971017478951,0.17088578695809867,0.7594113147897965,0.6813666607297719
panel004,birdnet,centroid_frozen,,0.7657185781455835,0.1702323408844005,0.6747612590249387,0.11878003705133143,0.5559812219736072,0.5045289181405381
