panel,pipeline,m_exposed,added_clips,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel001,birdnet,1,107,100.0,0.9875630959825052,0.9971892347691659,0.6465838285320762,0.9103687386577547,0.525092704024214,0.38527603463354065,0.2637849101256785
panel001,birdnet,2,212,10.0,0.9887587084236593,0.9971892347691659,0.8351096291568949,0.9217288453502621,0.6723220925589022,0.24940675279135993,0.08661921619336721
panel001,birdnet,5,527,10.0,0.9882934885818605,0.9981261565127774,0.9397574144557108,0.9280353857311989,0.800496544426936,0.12753884130426296,-0.01172202872451189
panel001,birdnet,10,1040,1.0,0.9919379576444853,0.9971892347691659,0.962662574878971,0.9181076791813259,0.8558733199520678,0.06223435922925802,-0.04455489569764515
panel001,birdnet,20,2016,1.0,0.9914594499320728,0.9990630782563886,0.9838750173115498,0.9193341734918505,0.8860588665880947,0.0332753069037558,-0.06454084381969927
panel001,birdnet,0,0,10.0,,0.9981261565127771,0.32934531032742803,0.9277278637647561,0.22605814236013766,0.7016697214046185,0.5983825534373282
panel002,birdnet,1,107,100.0,0.9889096667759194,0.9943720814355345,0.7028738505078809,0.944554647407574,0.5811801397984915,0.3633745076090825,0.24168079689969313
panel002,birdnet,2,214,10.0,0.988430510438089,0.9943642737543378,0.8119230490156738,0.9500814580831262,0.6465182626179292,0.30356319546519694,0.13815840906745236
panel002,birdnet,5,531,100.0,0.99074160652348,0.9934351596919231,0.9363160119590147,0.9429987475421635,0.8314682012354874,0.11153054630667614,0.006682735583148802
panel002,birdnet,10,1032,10.0,0.9922023095025544,0.995301195497949,0.9684450045679655,0.9470371481468921,0.8859565870982925,0.0610805610485996,-0.021407856421073346
panel002,birdnet,20,1982,100.0,0.9921130735838849,0.9934351596919231,0.9828375476649542,0.9356433758102122,0.8964523203635711,0.03919105544664103,-0.04719417185474206
panel002,birdnet,0,0,1.0,,0.9943720814355345,0.34913925424611125,0.9530825247268637,0.2721744752160507,0.6809080495108131,0.6039432704807525
panel003,birdnet,1,107,10.0,0.9880540570723486,0.9953153912819432,0.6877277920529474,0.931856673995086,0.4827276092759393,0.4491290647191467,0.24412888194213855
panel003,birdnet,2,211,10.0,0.9881437090774977,0.9953177335863022,0.8364506348423003,0.9327609380928639,0.6832974902944683,0.24946344779839558,0.09631030325056356
