panel,pipeline,m_swapped,added,removed,train_size,base_train_size,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,frozen_B_minus_C
panel001,birdnet,5,527,527,22276,22276,100.0,0.9890900575431438,0.9962927710099377,0.9377558470970498,0.9145195111060805,0.805033154570268,0.10948635653581251,0.7016697214046185
panel001,birdnet,20,2016,2015,22277,22276,10.0,0.9891359472567457,0.9943209602752968,0.9847714810707779,0.9161125959639111,0.8871731270954195,0.028939468868491636,0.7016697214046185
panel002,birdnet,5,531,531,22495,22495,1.0,0.9888967249181565,0.9943720814355345,0.9297678809726192,0.9454937181940349,0.8234296815771409,0.12206403661689402,0.6809080495108131
panel002,birdnet,20,1982,1982,22495,22495,10.0,0.9905913409360553,0.9943666160586967,0.9798842383373451,0.9402514315508732,0.9074153303711298,0.03283610117974345,0.6809080495108131
panel003,birdnet,5,522,522,22357,22357,10.0,0.9893374048913126,0.9953177335863022,0.9282895186569599,0.9308775528328731,0.7955544500770114,0.13532310275586168,0.7195119621388484
panel003,birdnet,20,1917,1908,22366,22357,1.0,0.9900656004659488,0.9953177335863022,0.980187867005378,0.9247643976831689,0.8773180111580521,0.04744638652511679,0.7195119621388484
panel004,birdnet,5,533,533,21388,21388,10.0,0.9907104377250999,0.9961976592571773,0.9246848439287643,0.9346108636086784,0.8017708672414654,0.132839996367213,0.6714162606002121
panel004,birdnet,20,1991,1990,21389,21388,10.0,0.9899118578260098,0.9913394444513336,0.9858240901034802,0.9297181271550157,0.9002762010830541,0.02944192607196161,0.6714162606002121
panel005,birdnet,5,530,530,21566,21566,10.0,0.9895956091057846,0.9953153912819431,0.9242425121945641,0.94759010179269,0.7640724997310016,0.18351760206168843,0.753008168208026
panel005,birdnet,20,1979,1978,21567,21566,10.0,0.9900739815272163,0.9943642737543378,0.9809200312657966,0.9373036179159063,0.8620804132108657,0.07522320470504062,0.753008168208026
panel006,birdnet,5,535,535,20475,20475,100.0,0.9887042571875699,0.9924499722827318,0.9418872116683675,0.9101434360712536,0.8316031838855086,0.07854025218574501,0.7244357836191035
panel006,birdnet,20,2006,2001,20480,20475,1.0,0.9896080039000579,0.9914654236838203,0.9848788474883735,0.9226820384913511,0.9187716557577582,0.003910382733592899,0.7244357836191035
panel007,birdnet,5,517,517,22225,22225,10.0,0.9899683367532337,0.9981261565127771,0.911631039795514,0.9531768496930285,0.8308238146466441,0.1223530350463844,0.696042697174581
panel007,birdnet,20,1893,1892,22226,22225,100.0,0.9895738333176055,0.9962381172415604,0.9710247643654613,0.9389920414282507,0.9079447304177868,0.031047311010463874,0.696042697174581
panel008,birdnet,5,523,523,21759,21759,100.0,0.9908134736949246,0.9971892347691659,0.9376750866744739,0.9253893540451147,0.7954783184529769,0.1299110355921378,0.7006140487638737
panel008,birdnet,20,1925,1925,21759,21759,1.0,0.991511849156318,0.9971892347691659,0.9737118923051042,0.9371874246932133,0.8917364092920124,0.04545101540120089,0.7006140487638737
panel009,birdnet,5,526,526,22364,22364,10.0,0.9903591399443211,0.9962381172415605,0.9367328818361209,0.9391265973407442,0.8018158382253026,0.13731075911544166,0.6979427345238738
panel009,birdnet,20,1974,1969,22369,22364,1.0,0.9899964188991295,0.9962523130255546,0.9866025242692585,0.9311729388301171,0.9057167484105109,0.02545619041960623,0.6979427345238738
panel010,birdnet,5,526,526,20832,20832,10.0,0.9901154766590613,0.9962523130255545,0.9472998746157171,0.952533757137149,0.7743410747419712,0.17819268239517783,0.7344935857087644
panel010,birdnet,20,1990,1985,20837,20832,10.0,0.9903223150637981,0.9952607375135659,0.9849919332457454,0.9410039285605235,0.8895314204442033,0.051472508116320204,0.7344935857087644
