panel,pipeline,pooling,selected_c,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A,frozen_B_minus_C
panel001,birdnet,first_window,100.0,0.9971892347691659,0.2972064153189887,0.9109137280301909,0.18808821432408268,0.7228255137061081,0.6137073127112022,0.7016697214046185
panel002,birdnet,first_window,1.0,0.9943720814355345,0.3501329166913921,0.9549997495860072,0.2678477254341337,0.6871520241518735,0.6048668328946151,0.6809080495108131
panel003,birdnet,first_window,1.0,0.9953177335863022,0.30550848018321713,0.9358908483889772,0.20994888600465866,0.7259419623843185,0.6303823682057601,0.7195119621388484
panel004,birdnet,first_window,100.0,0.9961976592571773,0.3644390489310392,0.9299132015523512,0.261650062994242,0.6682631385581093,0.5654741526213121,0.6714162606002121
panel005,birdnet,first_window,100.0,0.9953558492663264,0.26138142577624784,0.9339899809661528,0.19605023041239605,0.7379397505537568,0.672608555189905,0.753008168208026
panel006,birdnet,first_window,10.0,0.9915200774521976,0.24750758608463236,0.9285632572849001,0.19739797784476992,0.7311652794401302,0.6810556712002678,0.7244357836191035
panel007,birdnet,first_window,1.0,0.9981261565127771,0.3216842011758157,0.9451117807886669,0.2565412143025922,0.6885705664860746,0.6234275796128512,0.696042697174581
panel008,birdnet,first_window,10.0,0.9981261565127774,0.3275854433178944,0.939143200459361,0.24523002445875072,0.6939131760006102,0.6115577571414665,0.7006140487638737
panel009,birdnet,first_window,1.0,0.9953153912819432,0.2817766325540637,0.9441362343894476,0.2396849572328059,0.7044512771566417,0.6623596018353839,0.6979427345238738
panel010,birdnet,first_window,1.0,0.995301195497949,0.33178649355990597,0.9445625038363334,0.21904812683744357,0.7255143769988899,0.6127760102764275,0.7344935857087644
panel011,birdnet,first_window,10.0,0.9990630782563886,0.3508704160192218,0.9305600465548282,0.25172312492817006,0.6788369216266581,0.5796896305356063,0.6835028009358519
panel012,birdnet,first_window,1.0,0.9934296943150853,0.29087003235598663,0.9500293230074726,0.24736805549616084,0.7026612675113117,0.6591592906514859,0.7018027218213916
panel001,birdnet,max,10.0,0.9971345810007886,0.33727449918225033,0.9282286467972646,0.22184920271074032,0.7063794440865243,0.5909541476150142,0.7016697214046185
panel002,birdnet,max,10.0,0.9943720814355345,0.35853708163555387,0.9492442794516758,0.29459889173622134,0.6546453877154544,0.5907071978161219,0.6809080495108131
panel003,birdnet,max,10.0,0.9962523130255546,0.29876790296332595,0.9351939775132919,0.2161407306935918,0.7190532468197002,0.6364260745499659,0.7195119621388484
panel004,birdnet,max,100.0,0.9961976592571773,0.35861236759840226,0.9305783351202416,0.27114540735276066,0.6594329277674809,0.5719659675218394,0.6714162606002121
panel005,birdnet,max,10.0,0.9943784695383318,0.3012603093515055,0.9446685563696066,0.2033960601588243,0.7412724962107823,0.6434082470181011,0.753008168208026
panel006,birdnet,max,10.0,0.99245465689145,0.2702034917064481,0.920268507490928,0.21806682087685117,0.7022016866140769,0.65006501578448,0.7244357836191035
panel007,birdnet,max,10.0,0.9971892347691658,0.32424331719319893,0.9481799126159681,0.26506994784887955,0.6831099647670886,0.6239365954227691,0.696042697174581
panel008,birdnet,max,10.0,0.9981261565127774,0.33707539087957783,0.9381699934787717,0.2382443828531361,0.6999256106256356,0.6010946025991939,0.7006140487638737
panel009,birdnet,max,1.0,0.995301195497949,0.2985400498602892,0.9449881760746146,0.2406316886924313,0.7043564873821833,0.6464481262143253,0.6979427345238738
panel010,birdnet,max,10.0,0.9953153912819431,0.344041178064716,0.9512103515343534,0.22540890500998287,0.7258014465243705,0.6071691734696374,0.7344935857087644
panel011,birdnet,max,1.0,0.9981261565127771,0.3600524258996845,0.9313342855657452,0.25844941174242164,0.6728848738233235,0.5712818596660607,0.6835028009358519
panel012,birdnet,max,10.0,0.9943642737543378,0.31704774431178956,0.9538312974191943,0.25729821564150707,0.6965330817776871,0.6367835531074046,0.7018027218213916
panel001,birdnet,unweighted_mean,10.0,0.9981261565127771,0.3329398572428373,0.9219140161758994,0.22020152141194652,0.7017124947639529,0.5889741589330622,0.7016697214046185
panel002,birdnet,unweighted_mean,10.0,0.9924435841799344,0.33416043407591717,0.9502443230155291,0.277039182865556,0.673205140149973,0.6160838889396119,0.6809080495108131
panel003,birdnet,unweighted_mean,10.0,0.9953153912819432,0.2958972495789379,0.9318665829972242,0.20743244820140797,0.7244341347958163,0.6359693334182863,0.7195119621388484
panel004,birdnet,unweighted_mean,100.0,0.9942691620015771,0.3575526854861135,0.9395541832066479,0.2644966798213503,0.6750575033852976,0.5820014977205343,0.6714162606002121
panel005,birdnet,unweighted_mean,1.0,0.9953153912819432,0.2989562697833477,0.9384843141488921,0.2028145518430369,0.7356697623058552,0.6395280443655444,0.753008168208026
panel006,birdnet,unweighted_mean,10.0,0.9934273520107263,0.2584314416112559,0.925512527119268,0.21914427734695593,0.706368249772312,0.667081085508012,0.7244357836191035
panel007,birdnet,unweighted_mean,1.0,0.9971892347691659,0.3170158039847717,0.9517597543514229,0.24920590198047748,0.7025538523709454,0.6347439503666512,0.696042697174581
panel008,birdnet,unweighted_mean,10.0,0.9990630782563887,0.34051600820858235,0.9363221342480275,0.247418565089552,0.6889035691584755,0.5958061260394452,0.7006140487638737
panel009,birdnet,unweighted_mean,1.0,0.9943642737543378,0.2872711298332468,0.9423206426301773,0.22960944016799426,0.7127112024621831,0.6550495127969305,0.6979427345238738
panel010,birdnet,unweighted_mean,1.0,0.9962523130255546,0.32811906756458287,0.946543500565375,0.22412871260374598,0.722414787961629,0.6184244330007921,0.7344935857087644
panel011,birdnet,unweighted_mean,1.0,0.9990630782563886,0.34549207427061307,0.9238263505659653,0.23837933993675534,0.68544701062921,0.5783342762953523,0.6835028009358519
panel012,birdnet,unweighted_mean,100.0,0.9943808118426907,0.2932972577920338,0.9364024540828504,0.2480454021667928,0.6883570519160576,0.6431051962908165,0.7018027218213916
