panel,representation,dim,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A,frozen_full_train_B_minus_C
panel001,final,1536,10.0,0.9626534600622445,0.9647981990611219,0.21233135461272074,0.8844066145271857,0.1412524350845393,0.7431541794426464,0.672075259914465,0.7879404133374691
panel001,spatial_meanmax,3072,10.0,0.9459916479843568,0.9486085176534829,0.18868354235606632,0.8581610498440916,0.1334579359627489,0.7247031138813427,0.6694775074880253,0.7879404133374691
panel001,freq_bands,6144,10.0,0.95491990529909,0.9521644898412881,0.19299630501642415,0.8603899286323933,0.13322096200897005,0.7271689666234232,0.6673936236159691,0.7879404133374691
panel001,time_meanmax,3072,10.0,0.9457697860588403,0.9417798616793965,0.20649643973494825,0.8569252307824168,0.13652919088645865,0.7203960398959581,0.6504287910474685,0.7879404133374691
panel002,final,1536,10.0,0.9656319093783289,0.9675951147798028,0.21379829222364574,0.905618574044739,0.18455072495162153,0.7210678490931175,0.6918202818210932,0.7558930696268813
panel002,spatial_meanmax,3072,10.0,0.9520388452276999,0.9617331077372742,0.18797884668297027,0.893061042769232,0.16876499887330554,0.7242960438959265,0.7050821960862618,0.7558930696268813
panel002,freq_bands,6144,10.0,0.958083834641226,0.9643143854852329,0.19013839667615542,0.9011341426493339,0.16338812771766767,0.7377460149316662,0.7109957459731785,0.7558930696268813
panel002,time_meanmax,3072,10.0,0.9513550098233703,0.9593803884680255,0.19735537871910755,0.8937520759614775,0.17457541148701677,0.7191766644744608,0.69639669724237,0.7558930696268813
panel003,final,1536,10.0,0.9610399529292213,0.9616340257032895,0.17650005082196152,0.9007479855827816,0.10997242534177257,0.790775560241009,0.7242479347608201,0.8131472894641754
panel003,spatial_meanmax,3072,10.0,0.9460291412820275,0.9507620091717146,0.1806706621056916,0.8779843731758306,0.1022254023992468,0.7757589707765837,0.697313711070139,0.8131472894641754
panel003,freq_bands,6144,1.0,0.9513269621016793,0.9699306119874102,0.15514770275537038,0.9039613447028879,0.09810925803651833,0.8058520866663695,0.7488136419475175,0.8131472894641754
panel003,time_meanmax,3072,10.0,0.9482055602772597,0.9480830107271948,0.1748784161139728,0.8812244061527308,0.1076482771150943,0.7735761290376365,0.706345990038758,0.8131472894641754
