pipeline,bird_id,type_task_acc,type_task_n,session_task_acc,session_task_n
birdnet,pf71373,1.0,108,0.9689473684210526,96
birdnet,pf71395,1.0,156,0.961491935483871,156
birdnet,pf71411,1.0,48,1.0,48
birdnet,pf71904,1.0,96,0.9789473684210528,96
birdnet,pf71915,1.0,68,1.0,68
birdnet,pf71937,1.0,60,0.9800000000000001,48
birdnet,pf72101,1.0,64,0.9777777777777779,88
birdnet,pf72506,1.0,44,0.9651515151515151,58
birdnet,pf72509,1.0,66,0.967251461988304,92
birdnet,pf72510,1.0,88,0.9492063492063492,138
birdnet,pf72514,1.0,106,0.9476190476190476,210
birdnet,pf72561,1.0,36,1.0,32
birdnet,pf72730,1.0,36,1.0,76
birdnet,pf72757,1.0,156,1.0,264
birdnet,te80906,1.0,192,0.9480431848852902,192
birdnet,te80930,1.0,88,1.0,60
birdnet,tj26850,1.0,112,0.8466666666666667,124
birdnet,tl38410,1.0,54,0.9800000000000001,52
birdnet,tl38650,1.0,164,0.9312643678160921,146
birdnet,tl38664,1.0,128,1.0,66
birdnet,tr43216,1.0,126,0.9538461538461538,64
birdnet,tr43324,0.9818181818181818,54,0.8857142857142858,36
birdnet,tr43332,1.0,100,0.9727272727272727,108
birdnet,tr43333,1.0,148,0.9766153846153847,126
birdnet,tr43342,1.0,58,0.8954545454545455,58
birdnet,ts47913,0.9777777777777779,42,1.0,30
birdnet,ts47968,1.0,124,0.9857142857142858,68
birdnet,tv26548,1.0,136,0.967741935483871,156
birdnet,tv44361,1.0,106,0.9849002849002849,134
birdnet,tw41613,1.0,60,0.9857142857142858,70
birdnet,tw41667,1.0,72,0.95,60
birdnet,tw41728,1.0,66,0.85,40
birdnet,tw41833,1.0,142,0.9788177339901478,142
birdnet,tw41850,1.0,82,0.9875,82
birdnet,tw41881,1.0,58,0.9866666666666667,78
birdnet,tw41893,1.0,92,0.9783625730994151,92
birdnet,ty68001,1.0,78,1.0,106
birdnet,ty68090,1.0,92,1.0,56
birdnet,ty68169,1.0,82,0.9718614718614719,106
birdnet,ty68197,1.0,70,1.0,56
birdnet,ty68250,1.0,64,0.8571428571428571,70
birdnet,ty68256,1.0,146,0.9588505747126437,146
birdnet,ty68266,1.0,116,1.0,130
birdnet,ty68269,1.0,46,0.9299003322259136,214
birdnet,ty68288,1.0,108,0.968421052631579,92
birdnet,ty68290,1.0,50,1.0,50
birdnet,ty68302,1.0,100,0.9904761904761905,106
birdnet,ty68314,1.0,52,0.9875,80
birdnet,ty68356,1.0,36,0.9277777777777778,42
birdnet,ty68365,1.0,124,0.967,124
birdnet,ty68368,1.0,64,0.9857142857142858,74
birdnet,ty68410,1.0,80,0.9491666666666667,78
birdnet,ty68701,1.0,52,0.9411764705882353,86
birdnet,ty68797,1.0,102,0.9906976744186047,216
birdnet,ty68817,1.0,54,0.9618181818181819,54
birdnet,ty69095,1.0,28,0.8868421052631579,98
birdnet,ty69215,1.0,200,0.9848717948717949,198
birdnet,ty69216,1.0,70,0.9813852813852814,108
birdnet,ty69429,1.0,74,1.0,106
birdnet,ty69450,1.0,74,0.9894736842105264,92
birdnet,ty69456,1.0,70,0.9866666666666667,76
birdnet,ty69457,1.0,100,0.9363076923076923,126
birdnet,ty69479,1.0,72,0.8607142857142858,36
birdnet,ty69494,1.0,62,0.8726495726495728,134
birdnet,ty69500,1.0,56,1.0,112
birdnet,ty70009,1.0,74,0.9580952380952381,74
birdnet,ty70013,1.0,140,0.9708994708994709,138
birdnet,ty70023,1.0,72,0.9777777777777779,88
birdnet,ty70082,1.0,102,0.9683076923076923,126
birdnet,ty70093,1.0,68,0.7824175824175825,68
birdnet,ty70118,1.0,96,1.0,100
birdnet,ty70233,1.0,44,1.0,46
birdnet,ty70249,1.0,52,0.9571428571428571,70
birdnet,ty70291,1.0,92,1.0,92
birdnet,ty70575,1.0,68,0.9679435483870968,156
birdnet,ty70701,1.0,82,0.9939393939393939,164
birdnet,ty70791,1.0,54,1.0,54
birdnet,ty70988,1.0,94,0.9538461538461538,130
birdnet,vb55885,1.0,138,1.0,156
birdnet,vs83969,1.0,88,0.9783625730994151,94
birdnet,vs84180,1.0,108,1.0,108
birdnet,vs84238,1.0,100,0.9866666666666667,76
birdnet,vs84262,1.0,48,1.0,48
birdnet,vz29416,1.0,82,0.9722943722943722,106
birdnet,vz29510,1.0,90,0.9619047619047618,106
birdnet,vz30799,1.0,30,0.845,78
birdnet,vz31403,1.0,90,0.9875,76
birdnet,vz31410,1.0,116,1.0,120
birdnet,vz31466,1.0,74,1.0,62
birdnet,vz31728,0.9862068965517242,144,0.8466666666666667,124
birdnet,vz31742,1.0,90,0.9882352941176471,84
birdnet,vz31749,1.0,146,0.8994708994708995,138
birdnet,vz31866,1.0,78,0.9091503267973856,88
birdnet,vz31906,1.0,46,0.9333333333333332,58
birdnet,vz32978,1.0,110,1.0,86
birdnet,vz33158,1.0,72,1.0,52
birdnet,vz33280,1.0,106,0.9027272727272727,278
birdnet,vz33342,1.0,120,0.9743951612903226,156
birdnet,vz33544,1.0,38,1.0,30
birdnet,vz33661,1.0,158,1.0,136
birdnet,vz33688,1.0,76,1.0,76
birdnet,vz33691,1.0,108,0.99,100
birdnet,vz33700,1.0,68,0.9666666666666668,90
birdnet,vz33851,1.0,38,0.86,50
birdnet,vz33887,1.0,122,0.8678947368421053,98
birdnet,vz33890,1.0,228,0.945,200
birdnet,vz33899,1.0,98,0.935268817204301,154
perch,pf71373,1.0,108,0.948421052631579,96
perch,pf71395,1.0,156,0.9745967741935484,156
perch,pf71411,1.0,48,1.0,48
perch,pf71904,1.0,96,0.9368421052631579,96
perch,pf71915,1.0,68,0.9857142857142858,68
perch,pf71937,1.0,60,0.96,48
perch,pf72101,1.0,64,0.9764705882352942,88
perch,pf72506,1.0,44,0.9469696969696969,58
perch,pf72509,1.0,66,0.967251461988304,92
perch,pf72510,1.0,88,0.9346560846560846,138
perch,pf72514,1.0,106,0.9238095238095237,210
perch,pf72561,1.0,36,1.0,32
perch,pf72730,1.0,36,0.9216666666666666,76
perch,pf72757,1.0,156,1.0,264
perch,te80906,1.0,192,0.9164642375168691,192
perch,te80930,1.0,88,0.9833333333333332,60
perch,tj26850,1.0,112,0.7903333333333333,124
perch,tl38410,1.0,54,0.96,52
perch,tl38650,1.0,164,0.993103448275862,146
