panel,pipeline,readout,contrast,endpoint_role,estimate,ci_low,ci_high,positive
panel001,birdnet,linear,B_minus_A,co_primary,0.59838255343732805,0.53277257458293481,0.66092329935713223,true
panel001,birdnet,linear,B_minus_C,co_primary,0.70166972140461825,0.6484823717098448,0.75164932647138816,true
panel001,birdnet,linear,A_minus_C,secondary_paired_day_context,0.10328716796729036,0.061788751127812812,0.14725890766069311,true
panel001,birdnet,linear,D_minus_A,secondary_descriptive,0.66878084618534905,0.61068930990854486,0.72485478813250603,true
panel001,birdnet,linear,D_minus_B,secondary_descriptive,0.070398292748021216,0.043181224003313701,0.10274017116742198,true
panel001,birdnet,linear,D_minus_C,secondary_descriptive,0.77206801415263948,0.72083743277184509,0.82016210140520418,true
panel001,birdnet,linear,interaction,secondary_descriptive,-0.032888875219269136,-0.078573257622127357,0.011376763438728012,false
panel001,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.46098998681484077,0.37475421777501555,0.5454362849530473,true
panel001,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.4963473747870244,0.41893946991904762,0.5709316401922252,true
panel001,birdnet,centroid,A_minus_C,secondary_paired_day_context,0.035357387972183692,3.7608303777798262e-05,0.07270568073609647,true
panel001,birdnet,centroid,D_minus_A,secondary_descriptive,0.58535615130097474,0.50927988749812192,0.65915206538534121,true
panel001,birdnet,centroid,D_minus_B,secondary_descriptive,0.12436616448613401,0.078232048736919718,0.1724281659591225,true
panel001,birdnet,centroid,D_minus_C,secondary_descriptive,0.62071353927315842,0.54882039048396858,0.68920244576692813,true
panel001,birdnet,centroid,interaction,secondary_descriptive,0.089008776513950311,0.03963405292663414,0.14097780185877382,true
panel001,perch,linear,B_minus_A,co_primary,0.71424785475652175,0.65291578815369111,0.77287791637229997,true
panel001,perch,linear,B_minus_C,co_primary,0.78794041333746911,0.7365671065264946,0.83591951110422646,true
panel001,perch,linear,A_minus_C,secondary_paired_day_context,0.07369255858094742,0.041825550714822503,0.10661693988929864,true
panel001,perch,linear,D_minus_A,secondary_descriptive,0.77598636475576299,0.72477857502167553,0.82480157964642231,true
panel001,perch,linear,D_minus_B,secondary_descriptive,0.061738509999241187,0.036418015521349524,0.092932639572452846,true
panel001,perch,linear,D_minus_C,secondary_descriptive,0.84967892333671025,0.80372933260050328,0.89153393557530258,true
panel001,perch,linear,interaction,secondary_descriptive,-0.011954048581706225,-0.049621358873885309,0.024433108749197519,false
panel001,perch,centroid,B_minus_A,secondary_readout_robustness,0.44722550058244193,0.3687222576746465,0.52425028818766928,true
panel001,perch,centroid,B_minus_C,secondary_readout_robustness,0.46273809564685903,0.38715152803229386,0.5360163424248845,true
panel001,perch,centroid,A_minus_C,secondary_paired_day_context,0.01551259506441709,-0.0055737666872039552,0.038041298405159199,true
panel001,perch,centroid,D_minus_A,secondary_descriptive,0.52487813210438938,0.4475684702544272,0.60108845421012591,true
panel001,perch,centroid,D_minus_B,secondary_descriptive,0.077652631521947388,0.040190842707694671,0.1178288218410775,true
panel001,perch,centroid,D_minus_C,secondary_descriptive,0.54039072716880643,0.46340090618470181,0.61511655160473044,true
panel001,perch,centroid,interaction,secondary_descriptive,0.062140036457530294,0.022315887542606379,0.10501517851705663,true
panel002,birdnet,linear,B_minus_A,co_primary,0.60394327048075258,0.52960628431781553,0.67539355909854859,true
panel002,birdnet,linear,B_minus_C,co_primary,0.68090804951081296,0.61978943424216404,0.73765732908635073,true
panel002,birdnet,linear,A_minus_C,secondary_paired_day_context,0.076964779030060507,0.02777908326823058,0.12737257474887342,true
panel002,birdnet,linear,D_minus_A,secondary_descriptive,0.64523282718942332,0.58067329908168819,0.70814904961163949,true
panel002,birdnet,linear,D_minus_B,secondary_descriptive,0.041289556708670738,0.020566502592630317,0.06847888698623629,true
panel002,birdnet,linear,D_minus_C,secondary_descriptive,0.7221976062194837,0.66365852546369553,0.77575291841948157,true
panel002,birdnet,linear,interaction,secondary_descriptive,-0.035675222321389762,-0.08217825512081918,0.010563614004022392,false
panel002,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.51053561095695354,0.42353020606731401,0.59543247008240308,true
panel002,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.5687932448296471,0.49268987109770923,0.64269419266176742,true
panel002,birdnet,centroid,A_minus_C,secondary_paired_day_context,0.058257633872693594,0.016604857076972273,0.10141084177628021,true
panel002,birdnet,centroid,D_minus_A,secondary_descriptive,0.60101156413872758,0.52884491511037723,0.67231479274861283,true
panel002,birdnet,centroid,D_minus_B,secondary_descriptive,0.090475953181773996,0.047952902645354963,0.13701099188879759,true
panel002,birdnet,centroid,D_minus_C,secondary_descriptive,0.65926919801142103,0.59004030367542282,0.72537362820650897,true
panel002,birdnet,centroid,interaction,secondary_descriptive,0.032218319309080382,-0.019991918891674135,0.085525546462626612,true
panel002,perch,linear,B_minus_A,co_primary,0.71766608471913529,0.66070282174788431,0.77391015654791651,true
panel002,perch,linear,B_minus_C,co_primary,0.75589306962688141,0.70428769771344291,0.80488791836182594,true
panel002,perch,linear,A_minus_C,secondary_paired_day_context,0.038226984907746162,0.0012496068227001473,0.07548741500836266,true
panel002,perch,linear,D_minus_A,secondary_descriptive,0.76039718402918199,0.70409616835916666,0.81524680442077035,true
panel002,perch,linear,D_minus_B,secondary_descriptive,0.042731099310046691,0.021606095201459206,0.067791689475469596,true
panel002,perch,linear,D_minus_C,secondary_descriptive,0.79862416893692822,0.74850789849512966,0.84560292130000791,true
panel002,perch,linear,interaction,secondary_descriptive,0.0045041144023005323,-0.039688665795094724,0.048333700745930588,true
panel002,perch,centroid,B_minus_A,secondary_readout_robustness,0.54492325659507534,0.47174869550665061,0.61799583828433835,true
panel002,perch,centroid,B_minus_C,secondary_readout_robustness,0.55458857517965832,0.47925367339915725,0.62788168065246797,true
panel002,perch,centroid,A_minus_C,secondary_paired_day_context,0.0096653185845829402,-0.01049043090964165,0.031882772229552742,true
panel002,perch,centroid,D_minus_A,secondary_descriptive,0.62805855336490124,0.55965371354866356,0.69493090011266889,true
panel002,perch,centroid,D_minus_B,secondary_descriptive,0.083135296769825742,0.047236120574801012,0.1233139323818898,true
panel002,perch,centroid,D_minus_C,secondary_descriptive,0.63772387194948421,0.56661849001468823,0.70538088211098571,true
panel002,perch,centroid,interaction,secondary_descriptive,0.073469978185242799,0.032842599776164549,0.11769296023882717,true
panel003,birdnet,linear,B_minus_A,co_primary,0.63897279096271997,0.56149080507550253,0.71036031731352112,true
panel003,birdnet,linear,B_minus_C,co_primary,0.71951196213884827,0.65948396747283522,0.77693277437614994,true
panel003,birdnet,linear,A_minus_C,secondary_paired_day_context,0.08053917117612841,0.031838752715602527,0.13088770333085165,true
panel003,birdnet,linear,D_minus_A,secondary_descriptive,0.69789530155818458,0.63875238196374462,0.75479499206977374,true
panel003,birdnet,linear,D_minus_B,secondary_descriptive,0.058922510595464668,0.029988632884337538,0.094725716159557757,true
