pipeline,readout,contrast,bird_id,panel_count,mean_contribution,sign
birdnet,linear,B_minus_A,pf71373,12,0.64216927971313942,positive
birdnet,linear,B_minus_A,pf71395,12,0.63120862118742049,positive
birdnet,linear,B_minus_A,pf71411,12,0.76607114916611485,positive
birdnet,linear,B_minus_A,pf71904,12,0.62878373539944754,positive
birdnet,linear,B_minus_A,pf71915,12,0.73923786885255449,positive
birdnet,linear,B_minus_A,pf71937,12,0.80193744164332392,positive
birdnet,linear,B_minus_A,pf72101,12,0.8044279090474743,positive
birdnet,linear,B_minus_A,pf72506,12,0.58610972360972358,positive
birdnet,linear,B_minus_A,pf72509,12,0.92326917721654567,positive
birdnet,linear,B_minus_A,pf72510,12,0.88257874705243122,positive
birdnet,linear,B_minus_A,pf72514,12,0.56538768249294569,positive
birdnet,linear,B_minus_A,pf72561,12,1,positive
birdnet,linear,B_minus_A,pf72730,12,1,positive
birdnet,linear,B_minus_A,pf72757,12,0.92371031746031751,positive
birdnet,linear,B_minus_A,te80906,12,0.77482556429924854,positive
birdnet,linear,B_minus_A,te80930,12,0.23315247809985737,positive
birdnet,linear,B_minus_A,tj26850,12,0.74766644174538899,positive
birdnet,linear,B_minus_A,tl38410,12,0.96269841269841283,positive
birdnet,linear,B_minus_A,tl38650,12,0.70231523045200861,positive
birdnet,linear,B_minus_A,tl38664,12,0.28730738665521272,positive
birdnet,linear,B_minus_A,tr43216,12,0.63613765877877249,positive
birdnet,linear,B_minus_A,tr43324,12,0.6154091007032183,positive
birdnet,linear,B_minus_A,tr43332,12,0.611014474288468,positive
birdnet,linear,B_minus_A,tr43333,12,0.71534367610934113,positive
birdnet,linear,B_minus_A,tr43342,12,0.30651474574866011,positive
birdnet,linear,B_minus_A,ts47913,12,0.78384921894983817,positive
birdnet,linear,B_minus_A,ts47968,12,0.76284841977510354,positive
birdnet,linear,B_minus_A,tv26548,12,0.74949025437440764,positive
birdnet,linear,B_minus_A,tv44361,12,0.68449330119852625,positive
birdnet,linear,B_minus_A,tw41613,12,0.45231931774934492,positive
birdnet,linear,B_minus_A,tw41667,12,0.81677447393780389,positive
